 ,adjustment_method,empirical_fdr,num_rejections,empirical_power,testing_method,nonnull_type,regime_id,repetition_id,trial_id
4064, BH , 0,15,0.9375 , simes,self,10,16,1016
4065,Bonferroni,0,10,0.625 , simes,self,10,16,1016
4066,BH,0,2,0.166667 , hypergeometric.ga,comp,10,16,1016
4067,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,16,1016
4068, BH , 0.125,16,0.875 , simes,self,10,17,1017
4069,Bonferroni,0,13,0.8125 , simes,self,10,17,1017
4070,BH,0,2,0.166667 , hypergeometric.ga,comp,10,17,1017
4071,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,17,1017
4072, BH , 0.25,16,0.75 , simes,self,10,18,1018
4073,Bonferroni,0,10,0.625 , simes,self,10,18,1018
4074,BH,0,2,0.166667 , hypergeometric.ga,comp,10,18,1018
4075,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,18,1018
4076, BH , 0.238095,21,1 , simes,self,10,19,1019
4077,Bonferroni,0,10,0.625 , simes,self,10,19,1019
4078,BH,0,2,0.166667 , hypergeometric.ga,comp,10,19,1019
4079,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,19,1019
4080, BH , 0,16,1 , simes,self,10,20,1020
4081,Bonferroni,0,11,0.6875 , simes,self,10,20,1020
4082,BH,0,2,0.166667 , hypergeometric.ga,comp,10,20,1020
4083,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,20,1020
4084, BH , 0.157895,19,1 , simes,self,10,21,1021
4085,Bonferroni,0,12,0.75 , simes,self,10,21,1021
4086,BH,0,2,0.166667 , hypergeometric.ga,comp,10,21,1021
4087,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,21,1021
4088, BH , 0.0588235,17,1 , simes,self,10,22,1022
4089,Bonferroni,0,15,0.9375 , simes,self,10,22,1022
4090,BH,0,2,0.166667 , hypergeometric.ga,comp,10,22,1022
4091,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,22,1022
4092, BH , 0.111111,18,1 , simes,self,10,23,1023
4093,Bonferroni,0,16,1 , simes,self,10,23,1023
4094,BH,0,2,0.166667 , hypergeometric.ga,comp,10,23,1023
4095,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,23,1023
4096, BH , 0.2,20,1 , simes,self,10,24,1024
4097,Bonferroni,0,15,0.9375 , simes,self,10,24,1024
4098,BH,0,2,0.166667 , hypergeometric.ga,comp,10,24,1024
4099,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,24,1024
4100, BH , 0.111111,18,1 , simes,self,10,25,1025
4101,Bonferroni,0,6,0.375 , simes,self,10,25,1025
4102,BH,0,2,0.166667 , hypergeometric.ga,comp,10,25,1025
4103,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,25,1025
4104, BH , 0.166667,18,0.9375 , simes,self,10,26,1026
4105,Bonferroni,0,14,0.875 , simes,self,10,26,1026
4106,BH,0,2,0.166667 , hypergeometric.ga,comp,10,26,1026
4107,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,26,1026
4108, BH , 0.235294,17,0.8125 , simes,self,10,27,1027
4109,Bonferroni,0.0833333,12,0.6875 , simes,self,10,27,1027
4110,BH,0,2,0.166667 , hypergeometric.ga,comp,10,27,1027
4111,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,27,1027
4112, BH , 0.133333,15,0.8125 , simes,self,10,28,1028
4113,Bonferroni,0,8,0.5 , simes,self,10,28,1028
4114,BH,0,2,0.166667 , hypergeometric.ga,comp,10,28,1028
4115,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,28,1028
4116, BH , 0.117647,17,0.9375 , simes,self,10,29,1029
4117,Bonferroni,0,8,0.5 , simes,self,10,29,1029
4118,BH,0,1,0.0833333 , hypergeometric.ga,comp,10,29,1029
4119,Bonferroni,0,1,0.0833333 , hypergeometric.ga,comp,10,29,1029
4120, BH , 0.0588235,17,1 , simes,self,10,30,1030
4121,Bonferroni,0,15,0.9375 , simes,self,10,30,1030
4122,BH,0,2,0.166667 , hypergeometric.ga,comp,10,30,1030
4123,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,30,1030
4124, BH , 0,16,1 , simes,self,10,31,1031
4125,Bonferroni,0,14,0.875 , simes,self,10,31,1031
4126,BH,0,2,0.166667 , hypergeometric.ga,comp,10,31,1031
4127,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,31,1031
4128, BH , 0,10,0.625 , simes,self,10,32,1032
4129,Bonferroni,0,5,0.3125 , simes,self,10,32,1032
4130,BH,0,2,0.166667 , hypergeometric.ga,comp,10,32,1032
4131,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,32,1032
4132, BH , 0.0588235,17,1 , simes,self,10,33,1033
4133,Bonferroni,0,12,0.75 , simes,self,10,33,1033
4134,BH,0,2,0.166667 , hypergeometric.ga,comp,10,33,1033
4135,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,33,1033
4136, BH , 0,11,0.6875 , simes,self,10,34,1034
4137,Bonferroni,0,9,0.5625 , simes,self,10,34,1034
4138,BH,0,2,0.166667 , hypergeometric.ga,comp,10,34,1034
4139,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,34,1034
4140, BH , 0.0588235,17,1 , simes,self,10,35,1035
4141,Bonferroni,0,13,0.8125 , simes,self,10,35,1035
4142,BH,0,2,0.166667 , hypergeometric.ga,comp,10,35,1035
4143,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,35,1035
4144, BH , 0.176471,17,0.875 , simes,self,10,36,1036
4145,Bonferroni,0,12,0.75 , simes,self,10,36,1036
4146,BH,0,2,0.166667 , hypergeometric.ga,comp,10,36,1036
